OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,42235,2021/02/26 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1454.4869726387,1280,50.2449743833282,1459,4,"50,2",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,51450,2021/02/26 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2785.21675157653,1263,69.5086163075659,1284,3,"69,5",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,163594,2021/02/26 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},2046.56020160108,4287,65.0519765292469,5200,17,"65,1",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,17894,2021/02/26 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2626.82728471144,337,78.9780417556026,538,1,"79,0",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,530703,2021/02/26 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2957.02047687494,13028,64.8011187915945,11630,27,"64,8",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,187791,2021/02/26 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2986.46009592753,5815,63.8827750283075,4017,10,"63,9",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,101823,2021/02/26 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2487.18643309331,3089,53.9094355679653,2207,3,"53,9",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,315572,2021/02/26 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2842.89008119892,8059,49.2955475274121,5472,6,"49,3",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,435224,2021/02/26 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3316.058828455,12363,60.3516855232985,7921,25,"60,4",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,28797,2021/02/26 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2917.96325212512,866,68.599545844661,677,3,"68,6",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,128936,2021/02/26 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3513.72983337471,2813,61.7796855204169,2267,2,"61,8",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,76224,2021/02/26 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},3022.49143797933,2992,63.0875298833059,1591,7,"63,1",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,24313,2021/02/26 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1511.87273728996,736,61.188778574973,984,0,"61,2",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,193707,2021/02/26 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4757.08201261748,7707,78.0211843355466,3177,3,"78,0",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,60236,2021/02/26 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2744.50947747886,2406,88.7104049513801,1947,15,"88,7",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,75947,2021/02/26 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3559.94108873345,2847,125.481747725907,2677,11,"125,5",16,15.0324529635839,2.07032354616438
