OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,cases7_bl_per_100k,cases7_bl,death7_bl,cases7_bl_per_100k_txt,AdmUnitId,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2903773,15,41468,2021/02/23 23:00:00+00,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},1428.07306218496,1245,50.0727846150508,1454,8,"50,1",1,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1847253,6,50673,2021/02/23 23:00:00+00,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},2743.1542945119,1235,63.6620971788921,1176,4,"63,7",2,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7993608,9,160402,2021/02/23 23:00:00+00,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},2006.62829600851,4204,60.2606482579581,4817,12,"60,3",3,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,681202,5,17584,2021/02/23 23:00:00+00,04,{4132268B-54DE-4327-AC1E-760E915112F1},2581.31949113479,329,71.931673717928,490,2,"71,9",4,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17947221,10,524022,2021/02/23 23:00:00+00,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},2919.79465790275,12800,60.8785059257921,10926,23,"60,9",5,19.7250153818911,4.413413308508
6,06,Hessen,Land,6288080,7,185434,2021/02/23 23:00:00+00,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},2948.97647612626,5751,60.2568669609801,3789,14,"60,3",6,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4093903,11,100633,2021/02/23 23:00:00+00,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},2458.11881717764,3031,51.8820304242675,2124,4,"51,9",7,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11100394,1,312399,2021/02/23 23:00:00+00,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},2814.30551023684,7985,45.5299154246237,5054,11,"45,5",8,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13124737,2,430386,2021/02/23 23:00:00+00,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},3279.19713743597,12233,55.1858677244352,7243,30,"55,2",9,29.2832556594748,8.66111920110973
10,10,Saarland,Land,986887,12,28369,2021/02/23 23:00:00+00,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},2874.59455844489,852,61.4052064724735,606,1,"61,4",10,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3669491,3,127483,2021/02/23 23:00:00+00,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},3474.13306096132,2766,53.7676751353253,1973,2,"53,8",11,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2521893,4,75337,2021/02/23 23:00:00+00,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},2987.31944614621,2948,63.1271826362181,1592,7,"63,1",12,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1608138,8,23712,2021/02/23 23:00:00+00,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},1474.5003227335,714,64.5466993504289,1038,11,"64,5",13,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4071971,13,191563,2021/02/23 23:00:00+00,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},4704.42937830353,7529,66.2087229992552,2696,6,"66,2",14,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2194782,14,59049,2021/02/23 23:00:00+00,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},2690.42665740834,2339,81.4203870817238,1787,10,"81,4",15,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2133378,16,74304,2021/02/23 23:00:00+00,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},3482.92707621434,2779,118.591266995347,2530,11,"118,6",16,15.0324529635839,2.07032354616438
